premise,hypothesis,label
A boy and a girl stand in a median amongst Mike Huckabee signs.,The boy and girl stand on the lakeshore.,0
People looking at their reflection and the reflection of a city in a long irregular shaped mirror,People look their reflection in a regular mirror.,1
A person is walking a bicycle down a city street.,A person is walking.,1
Motorcycle rider going over a bump.,Camel rider going over a bump.,1
A red hot air balloon lands in a field among a crowd.,A hot air balloon is rising in to the sky.,0
The man in black is flying off the full in front of a red fence.,The man is next to the fence.,1
A woman in black is getting ready in her bathroom.,The woman is getting ready,1
Two dogs are digging under a large rock with their bottoms to the camera.,Two dogs are digging under a rock.,0
A young male sitting in front of a computer monitor,Someone is at the movies with their friends.,1
An ATV rides over a vast sandy landscape.,The rider is outdoors.,1
A man wearing a brown shirt and backpack is pushing a stroller while a small toddler is walking along aside him on a rain-covered street.,The man's shirt is white.,0
"Along a paved walkway outdoors, a person in a black windbreaker takes a photo of a multi-piece fish statue while a small white dog looks on.","Along a paved walkway outdoors, a person in a black windbreaker takes a picture of a fish statue while a small white dog looks on.",1
A baseball player in the act of pick up a baseball with his hand.,A baseball player playing in a game.,1
Two men with graying beards share a laugh while enjoying the nice weather.,Two women with leg hair share a laugh while enjoying the nice weather.,1
Three people are posing on the side of a mountain.,The dogs are posing at the mountain.,0
"Rider in ceremonial garb rides white Arabian horse, also wearing ceremonial blankets and tassels.","Horse rider in traditional wear, ride horse with ceremonial wear and accessories",1
"Young men drink coffee and read books just outside some buildings on a sunny day; an older bearded man in a dark blue shirt glances at a younger man in a striped shirt, who has a red toy crab on the table next to him.",The older bearded man is indeed Gandalf the Grey.,1
"Phone to her ear, a woman bends forward at the side of a busy street.","Phone to her butt, a woman bends forward",1
The dog is in the snow in front of some trees.,A dog is in the snow.,0
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is at home sleeping,0
a man wearing a red jacket and camouflage pants is leaning against a giant tree in the snow.,A man sips beer on the beach,0
A bird is perched on a tree branch.,A squirrel plays in a tree.,0
A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre.,A man is near a building labeled Lottery Ticket Centre.,0
A man wearing a red shirt is quickly polishing a light wooden floor with a small green towel next to a yellow can of Wood Silk.,a man sleep,0
A boy in a yellow shirt running by some birds.,The boy's shirt is orange.,1
"Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.",Women are outside at a riding competition where they watch men compete.,1
"A female softball player wearing blue and red crouches in the infield, waiting for the next play.",the player is flying planes,1
An enthusiastic boy pushes a shopping cart containing a smiling boy.,A boy is pushing a shopping cart,0
A person is sitting on the edge of a rock cliff.,A person was sitting on the road.,0
Two NHL hockey players prepare to fight over a puck during a face off.,The players vigarously compete in their game.,1
The little boy gets ready to kick the soccer ball.,the boy is sleeping at home,0
Times Square in New York.,Times Square is in California.,1
A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders.,A group of people ride bikes together down a street.,0
People checking out a car with all its doors open in a parking lot in the city.,A car door has not been shut,0
A man in a white shirt hiking over rocks and water.,A man is hiking.,0
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.,0
"Two older women with a baby that has a pacifier in its mouth, the baby wears an orange and brown dress.",The baby is nude.,0
"A person walks outside carrying a bag, while a young girl in pink walks behind her.","A woman carrying a girl, with a bag behind her",0
A person sitting on a rock beside a waterfall.,A person is near water,1
The number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents.,A skater ahead of the competition in a race.,1
A single person stands on a heavily-eroded cliff-side rock while holding a bare branch aloft.,A single person stands on a heavily-eroded large cliff-side rock,0
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A man wearing a bathing suit is bent over in a cornfield while looking at the camera.,0
A man walking and carrying a notebook.,The woman is reading a book.,0
"A man with a blue, collared shirt sits in front of another man.",a man sits in front of another man,0
Men in hard hats work along a wall.,Guys are jumping in the pool.,0
A man standing on a green boat.,The boat is red and white.,0
A group of people sitting around a table eating food.,A person eats a tv dinner while sitting on the couch.,0
A woman teaching a ballet class composed of small children holding colourful scarves.,A woman is teaching a ballet class composed of middle aged men holding white scarves.,1
Two men wearing black smile while a seated woman behind them looks tired.,The woman looks weary.,0
a skier doing a trick on pole while being photographed by another man,Skier beating up photographer.,0
A man takes a drink in the doorway of a home.,The man is sitting at the table.,0
"There are five singers on a stage, three women and two men.",There are more females than males.,1
A young girl wearing yellow shorts and a white tank top using a cane pole to fish at a small pond.,A girl wearing a dress looks off a cliff.,0
A large crowd is gathered outside and one woman is yelling.,A woman yells while a groups of people gathers.,0
The person is reading a book.,A person reads.,1
Two children work together on a project at a table.,Two kids play in a park.,0
A man has flung himself over a pole with people and canopies in the background.,A guy has hurled himself in the air.,0
A boy in a blue jacket rides a skateboard down the street.,A blue jacketed boy is standing in football field.,0
"A plane flies overhead as military men stand at attention, a flag blows in the wind as a lady in red stares out towards the camera.",An empty field is photographed.,0
"A young girl, is mid jump, while performing a dance routine.",A young girl doesn't jump while performing her routine.,0
Two ladies one with her fingers in her pocket and the other with a drink in her hand at a party.,Two people are at a party.,0
A red hot air balloon lands in a field among a crowd.,A hot air balloon is making a landing.,0
a boy in a red hooded top is smiling whilst looking away from his reflection.,A boy in a red hood is happy.,0
Man sitting on bench with suitcase waiting for his source of transportation.,The man is outside.,1
Two male soccer players on opposing teams are trying to get the soccer ball.,Two soccer players go after the ball.,0
A man in a military uniform is walking away from a line of military vehicles.,A military man is running inside the line of military vehicle,1
"A barefoot man in an orange shirt, shorts, and a baseball cap is sitting on the open tailgate of a silver pickup truck.",A man is sitting on a car.,0
A man in a blue shirt and tan shorts has his feet in the steps of an exercise bicycle and is working on the control panel of the machine.,The shirt is blue,0
A girl with curly hair and wearing a patriotic shirt is looking at a monarch butterfly sitting on her left index finger.,A girl and a butterfly,1
A man riding his bike wearing his helmet in front of an audience.,A man is riding his bike,0
A young child plays on a beach next to an empty chair.,There is one child in this picture.,1
A man wearing white turns to hit a yellow tennis ball.,A man plays tennis.,1
A girl jumping high off of the sand.,The girl is jogging on the beach.,0
A man is holding a cigarette outdoors in front of a blue wall with a sink on it.,A woman smokes a bong.,0
A man in a coat with a briefcase walks down a street next to the bus lane.,A person in a coat with a briefcase walks down a street next to the bus lane.,0
"An older man is kneeling and talking to a group of younger children, all in soccer uniforms.",a man talks to kids,1
Red-haired female answers questions while sitting at a table for craftzine.,The blonde lawyer refused to comment.,0
A man biking down a tunnel.,A person is on a bike.,1
Lady wearing brown jacket with brown boots and orange colored scarf is hearing music while sitting in the train.,"There is a lady with an orange scarf, brown boots, and brown jacket on the train listening to music.",0
Group of people including a man and a woman playing instruments on a double-decker red Planet Hollywood sightseeing bus.,Five people jumped the bridge.,0
"People walk outside ""The Tempe Bar"".",People move around outside.,1
People are riding their bikes down a road.,People have bikes.,1
A white man taking a photo in front of water.,A man is in front of water.,0
Someone in green pants is on a white snowboard in the air.,The person is resting.,0
A brown dog wearing a collar is chasing and biting on a red broom.,There is an animal biting a broom.,1
Two daschunds play with a red ball,A cat in a litter box.,0
Two people walking outside in the woods in the winter time wearing jackets with hoods on them.,Two people are soaking up the sun in the summer time.,1
"A man dressed in a light blue shirt dumping items from a bin into another bin, while standing in a room full of food donations.",Foods are not stored in room by a man.,0
Two cars are being driven in a car race.,Two horses are pacing each other on a race track.,0
A young girl wearing yellow shorts and a white tank top using a cane pole to fish at a small pond.,A girl in shorts is fishing in a pond.,0
"A man dressed in a blue shirt, tan shorts, and a red baseball cap is examining a red antique car with an U.S. flag attached in the rear.",Henry Ford admiring his assembly lines.,0
Women sit on a beach as they watch men bring in a fishing net filled with fish in front of them.,People are gathered by the water.,1
A small child with a backpack walks down a narrow road next to a painted wall.,A small child is boxing in the ring,0
"A man in a leaf-patterned short stand behind a sunflower, smiling at the camera.",The man has shorts on.,1
This woman is setting out a vegetable collection for sale in the market.,A woman in her vegetable market.,0
A man sitting with his head down on his arm and a roll of toilet paper and a cellphone sitting beside him.,A man is running a marathon.,0
A woman sweeping in front of a ladder on a busy street.,A woman cleans up near a ladder,0
Boy in midair on bicycle,The boy is afraid to ride his bicycle so he lets it sit in the garage and collect rust.,1
A nurse is listening to another women's heartbeat with a stethoscope.,A woman in the doctors office.,1
Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing.,Two shabbily dressed women hold mics as they compete in a rap battle in front of a cheering crowd.,1
A brown and white dog is chained up near a red chair.,The dog is chained to a chair.,0
A person strolling through an orange tinted woods with a dog.,The person is inside.,0
A man in a gray sweatshirt using a power saw.,the guy in the sweatshirt uses the power saw,1
A woman wearing white and black carries a serving tray.,A woman wearing white and black grips a steering wheel with both hands as she evades the police.,0
This woman is setting out a vegetable collection for sale in the market.,A woman selling tires.,0
"A woman with a red scarf, white shirt, and tan shorts is giving a shushing sign to the camera in front of shelves of books.",a woman in a scarf,0
A woman with a bag is sitting amongst three people who are reading books.,The woman is sitting.,0
"A group of three men and two woman sitting at a table that has food, drinks, and a game on it.",the people are standing at the cliff,0
Women in a red hat and beige shoes standing with hands behind her back in front of a cement wall.,Nobody has a hat,0
A young smiling girl is holding a stuffed animal in one hand and a candy apple in the other.,A young smiling girl is holding a stuffed bell pepper in one hand,1
Two people are sitting in a chair a lady reading and a man looking to his phone,The man and women are standing by a river.,0
"The farmers are out working hard on there tractor, they have on their overalls and the machine is almost fixed.",Men in overalls work to fix a tractor.,1
A few women and children are collecting items from rocks.,People are throwing rocks.,0
Women in red are performing with nun-chucks.,Women are wielding nun-chucks.,1
A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees.,the woman is hanging out with her kids,0
A man and a woman jumping with a lake in the background.,There is a man and a woman.,1
"Picture of two men playing in a band, one playing the drums and one playing a xylophone type of instrument, in a dark room with two unrecognizable people watching in the background.",People are making music together.,1
A man in a red raincoat is looking to the opposite site of the camera.,A man is in a dress and has a laptop in front of him,0
"Asian men sitting down, and some of them are wearing white and pink hats, while the others are wearing blue jackets with yellow sashes.",Asian women are sitting in a restaurant.,0
Two kids in blue wetsuits surf.,Two children surf.,1
"A man, wearing a white hate and sunglasses, is sitting in a white truck that says ""Coast Gas"".",A man is sitting on his porsche.,0
A woman in a white dress with a white umbrellas is giving something to a woman in dark blue.,Two sisters are flipping each other off.,0
A lone person is walking in front of a white building.,A single person is sitting at the dentist office waiting his turn.,0
A person obscured in shadow in a gymnasium.,The person is hard to see.,1
Three men are playing frisbee in the woods.,Three men are outside.,1
A brown dog plays in a deep pile of snow.,A brown dog is running down the road chasing the mailman,0
Two dogs are looking through a rusty wire fence.,Two dogs are in the yard.,0
a boy in a beige shirt is sleeping in a car.,A person is in a vehicle,1
A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The woman is frowning.,0
Some men and boys are playing with a Frisbee in a grassy area.,People play frisbee outdoors.,1
A young woman in white working in a professional kitchen.,The woman is sitting in the bedroom.,0
Fireworks light up the night as a man stands on stage.,The man is studying quietly in the house.,0
Two green painted women perform for a crowd of onlookers.,Women perform.,0
A man in a black hat opens his mouth.,A person separates his upper and lower jaw.,1
Young person in black next to an older person in black and white polka dot.,A young person in white next to an older person.,1
A person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back.,The person is alone in the middle of the ocean.,0
"While traveling, a woman in a black jacket is resting on the shoulder of a man in a black jacket.",A woman rests on the shoulder of a man,0
"Many people sit, some stand outside of a large brick building.",people are throwing rocks at each other,1
Two construction workers climbing the steel ribbed exterior of a new building at their work site.,The workers are making coffee inside.,0
Three friends are talking.,Three people have their mouths full of food.,1
Person walking down lighted tunnel with green handrail.,a person walking in a tunnel,0
Men wearing blue uniforms sit on a bus.,Men sit on the bus.,0
A dad with his child and an apple pie.,A dad and his daughter with an blueberry pie.,1
Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.,1
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has a jean jacket.,0
A man in a red headband an shirt is standing in front of a display case.,man is a girl,1
A group of people celebrating in the street.,There is a celebration going on,1
A woman in a black leather shirt trench-coat and black leather calf-high boots and carrying a colorful bag with a shoulder strap faces away from the camera with a yellow post visible just in front of her.,"A lady in black leather trench coat, with matching black leather boots walks away from the camera in her front with her bag strapped to her shoulders",0
Man and women standing under a red umbrella.,The two woman stood under the black umbrella.,0
A Man is eating food next to a child on a bench.,Man eating on a bench near a child.,0
A child rides a bicycle in a sunny neighborhood.,a child is riding his bike,0
A man grilling a hamburger.,The man is swimming at the bottom of the ocean.,0
A man in a red shirt and blue jeans is standing in front of a wall with other people's shadows in front of him on the pavement.,A man stands by a wall.,0
A horse has fallen down on the green grass and the jockey riding on top is trying his hardest to not fall off.,The jockey is trying not to fall off the horse.,0
Two men are assisting a small girl in a harness.,Two guys help a girl with her harness.,1
A man and a boy behind the wheel of a car.,The little boy and the man sit behind the car's steering wheel.,0
"A young boy plays with the contents of a pantry and a cash register, pretending he runs a grocery store.",A young boy is hitting a pinata.,0
A man in a jean jacket is reaching into a bag and walking past two women.,man walks past women,0
A tall elder man is standing with his hand around another shorter elder man in the middle of the city,they are sitting on a couch,0
A young boy is hugging a wooden post.,A boy holds onto a post.,0
A shirtless man rock climbs.,A man is outside,1
a group of skiers jumping down slopes with the sun directly cast in backgroud,The group is skiing.,0
A woman drives a bike wearing a white blouse with her brown hair blowing in the wind.,The lady is driving a huge truck.,0
Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.,Two men sit outdoors in an urban area.,0
Two men in conversation while sitting at a bar.,Some people in conversation while sitting at a bar.,1
A little boy and his father talking to a man dressed as Santa Claws.,A girl and his father speak to Santa Claus,0
A woman in a striped shirt is walking a horse across a street.,A human and an animal are outdoors.,1
A girl crosscountry skis.,A girl is strolling down the park.,0
A man performing auto repair in front of a building.,The man is fixing a car.,0
A man with black clothing is sweeping steps with a broom.,The man has white clothing.,0
A man is painting a city scene on a canvas in the street.,A man is painting outside.,1
"A man wearing dark jeans, an orange shirt, and an orange apron is next to a bunch of plants and flowers and a woman with a blue top.",Two people are next to each other.,1
A man in a short Mohawk and beard.,There is a man with a ponytail and a mustache.,1
"A woman doing gymnastics, she is using the balance beam",A woman is napping in the gym.,0
A young boy wearing a suit and top hat is holding hands with a girl in a green dress.,the people are dying of old age,1
A man is playing drums with a band.,A man is playing an instrument.,1
A person dressed in black and red protective gear drives an ATV on a track.,There is a person driving.,1
The small dog is running across the lawn.,A cat is running up a tree.,0
Person in a long red coat walking in front of a building.,A man in a coat takes a stroll outdoors.,0
A birthday party for many little people to enjoy.,Children are running down the street.,0
A large group of protesters are walking down the street with signs.,Some people are holding up signs of protest in the street.,1
A man in a black coat and hat and a woman in a blue coat with pink hat snowshoeing on the side of a road with a stoplight in the background.,A man and woman are outside in the snow.,1
A man in a blue shirt and a woman in a pink skirt sit around other people in the background.,Two people are near some other people.,1
"A female bowler dressed in blue, with another bowler in the background, prepares to throw a ball down the lane.",A woman is playing a game,1
A man touching a hanging strand of lamps.,A man is reaching out to a strand of lamps.,1
a man takes a picture of another two men in a crowd.,a man takes a picture of  two men in a crowd.,1
"A bald, black man wearing safety glasses and a long-sleeved black shirt is using a pick and hammer to sculpt a sizable rock into art.",A bald black man is painting on a canvas with paint on a pick and hammer.,1
A boy in a green shirt on a skateboard on a stone wall with graffiti,A boy in a green shirt rollerblading through the tunnel.,0
a man with a cap and not wearing shirt is laying a wooden bench.,A man relaxes on a bench,0
A newspaper delivery man smiles as he walks down a sidewalk holding his papers on top of his head.,Something that is shown in the shot is made of paper.,1
"A man is laying down inside a black, non-working boat.",The man is outside on a boat.,1
Trays of freshly-baked pretzels are being loaded onto a delivery truck.,Pretzels are poisonous.,1
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.,They are in a boat.,0
A man holding a briefcase on a subway.,A man is standing in the middle of a field with a briefcase.,0
A man in a black coat and hat and a woman in a blue coat with pink hat snowshoeing on the side of a road with a stoplight in the background.,A man and women are sitting by the fire.,1
A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it.,There are some people on a road.,1
Boy with red shorts getting soaked with water.,The boy is not wet.,0
Two young girls looking very concerned.,Their faces convey their feelings.,1
A man with a cigarette sits on the stoop.,A man sits and smokes outside.,0
Two men wearing red jackets are looking out over some water and one man has yellow earphones on his ears.,The jackets being worn are red.,1
Seven young girls are being creative and making posters.,Girls are making posters.,0
A young face-painted boy is sucking his thumb.,The boy has his face painted.,0
a young man wearing dark sunglasses smiling,A boy is taking an exam.,0
A woman smiles while she opens a red package in front of a table with yarn and glass of liquid on it.,The woman is yelling at the package.,0
Two men in karate gear using fighting sticks.,two men fist fighting in the street,0
A young man is playing a blue guitar.,The man is playing the guitar.,1
A woman and child are on a boat and the woman is looking out into the ocean through a scope.,A lady is looking through a scope at the ocean.,1
Two men shining peoples shoes.,Two men shining shoes.,0
"A group of men in blue shirts, banded hats, and red bandannas stand in a group.",a bunch of eagles are eating a bug,0
A person on blue pants and a white shirt walks away from a dirt circle on multicolored grass.,a person walks a way from a dirt circle,0
A man with a duffel bag and girl pushing a cart walk down a street.,A man with a duffel bag walks with agirl pushing a cart down the street.,0
A woman in an apron is looking for bread.,A woman is talking on the phone in her bedroom.,0
Kids play in the water in the middle of the street.,Kids are running from zombies.,0
A large black and white dog is licking a smaller white and black dog who is growling.,The dog is large,1
"A young boy sits on the shoulders of a woman, who is carrying a young girl.",A woman is with a couple of children,1
A young football player watches a game with his coach.,Two people are watching a game.,1
Two women wearing aprons and hairnets look at each other while they reach into metal canisters.,No one is wearing aprons.,0
A girl in a black skirt and blue dress is watering flowers.,The girl is putting water in the pot.,0
An older man wearing stars and stripes rides a bike.,An old man rides a bike.,0
"A man wearing and Army shirt is on the ground in a push-up position, while a man in uniform squats beside him.",The shirt is a Navy shirt.,0
A woman in blue pants and a light-blue top looks down at her hand while standing near a dirty gray truck and surrounded by muddy ground.,"The truck that the woman in blue is standing next to could really use a good cleaning, as it's surrounded in mud.",1
A boy rides his skateboard at the park.,A child rides his skateboard at the park.,0
A man siting on a bench with a briefcase.,The man is walking up the stairs.,0
Three women sit together near woven walls.,The three bar tenders work hard pouring drinks.,0
A lady digs through a garbage can looking to add to the shopping cart beside her.,Lady digs through garbage,0
A woman with long hair pointing her camera skyward as she stands on a brick wall.,"A woman is pointing her camera upwards, while standing at a wall.",0
A man with long hair talking into a microphone as if on a stage.,A long haired man is practicing to talk into a microphone as though he is on stage.,1
Women are working and digging in a field.,Women are sitting on a grassy field.,0
A child with a yellow shirt riding a yellow bike in a city.,A kid riding his bike down the street.,0
A lone bike rider navigating a rough terrain course through dirt with trees and grass in the background on a cloud free day.,Somebody is riding a bike outside.,0
A man in gray and black is playing a black acoustic guitar with a slightly shorter woman who is wearing pink and playing a violin.,a cow chews grass,0
two white dogs fighting with each other,The two dogs are having a brawl.,1
A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.,People don't like sand.,0
A swimmer is performing the breaststroke in an indoor swimming pool set up for a competition.,A man is riding a bike,0
Army men grilling a lot of meat while his troop looks on.,No animal products can be seen here.,0
An accident involving a green Sudan and a gray van.,Two cars waited patiently for the light to turn green.,0
A group of friends are sitting at a table while drinking alcohol at their local pub.,a group of friends are at the table,0
